dataset	cell	class	ngenes	reads
FLASH-seq	ZHA8833A6	single	17	16
FLASH-seq	ZHA8833A6	single	19	7
FLASH-seq	ZHA8833A6	single	20	1339
FLASH-seq	ZHA8833A7	multi	1	222192
FLASH-seq	ZHA8833A7	multi	2	680356
FLASH-seq	ZHA8833A7	multi	3	616873
FLASH-seq	ZHA8833A7	multi	4	394538
FLASH-seq	ZHA8833A7	multi	5	244366
FLASH-seq	ZHA8833A7	multi	6	137238
FLASH-seq	ZHA8833A7	multi	7	103149
FLASH-seq	ZHA8833A7	multi	8	53319
FLASH-seq	ZHA8833A7	multi	9	40065
FLASH-seq	ZHA8833A7	multi	10	46326
FLASH-seq	ZHA8833A7	multi	11	25100
FLASH-seq	ZHA8833A7	multi	12	22041
FLASH-seq	ZHA8833A7	multi	13	20451
FLASH-seq	ZHA8833A7	multi	14	11382
FLASH-seq	ZHA8833A7	multi	15	14525
FLASH-seq	ZHA8833A7	multi	16	6458
FLASH-seq	ZHA8833A7	multi	17	10771
FLASH-seq	ZHA8833A7	multi	18	3680
FLASH-seq	ZHA8833A7	multi	19	16580
FLASH-seq	ZHA8833A7	multi	20	25830
FLASH-seq	ZHA8833A7	single	1	13826617
FLASH-seq	ZHA8833A7	single	2	3994367
FLASH-seq	ZHA8833A7	single	3	244581
FLASH-seq	ZHA8833A7	single	4	13170
FLASH-seq	ZHA8833A7	single	5	783
FLASH-seq	ZHA8833A7	single	6	29
FLASH-seq	ZHA8833A7	single	15	1
FLASH-seq	ZHA8833A7	single	19	5
FLASH-seq	ZHA8833A7	single	20	1689
FLASH-seq	ZHA8833A8	multi	1	233205
FLASH-seq	ZHA8833A8	multi	2	908941
FLASH-seq	ZHA8833A8	multi	3	927204
FLASH-seq	ZHA8833A8	multi	4	558404
FLASH-seq	ZHA8833A8	multi	5	410138
FLASH-seq	ZHA8833A8	multi	6	205464
FLASH-seq	ZHA8833A8	multi	7	172808
FLASH-seq	ZHA8833A8	multi	8	78874
FLASH-seq	ZHA8833A8	multi	9	61077
FLASH-seq	ZHA8833A8	multi	10	72844
FLASH-seq	ZHA8833A8	multi	11	39678
FLASH-seq	ZHA8833A8	multi	12	35472
FLASH-seq	ZHA8833A8	multi	13	37261
FLASH-seq	ZHA8833A8	multi	14	20001
FLASH-seq	ZHA8833A8	multi	15	26016
FLASH-seq	ZHA8833A8	multi	16	10560
FLASH-seq	ZHA8833A8	multi	17	18070
FLASH-seq	ZHA8833A8	multi	18	6576
FLASH-seq	ZHA8833A8	multi	19	32866
FLASH-seq	ZHA8833A8	multi	20	47095
FLASH-seq	ZHA8833A8	single	1	14486741
FLASH-seq	ZHA8833A8	single	2	4529112
FLASH-seq	ZHA8833A8	single	3	306258
FLASH-seq	ZHA8833A8	single	4	17721
FLASH-seq	ZHA8833A8	single	5	615
FLASH-seq	ZHA8833A8	single	6	8
FLASH-seq	ZHA8833A8	single	7	1
FLASH-seq	ZHA8833A8	single	12	4
FLASH-seq	ZHA8833A8	single	15	8
FLASH-seq	ZHA8833A8	single	20	405
FLASH-seq	ZHA8833A9	multi	1	270325
FLASH-seq	ZHA8833A9	multi	2	788441
FLASH-seq	ZHA8833A9	multi	3	842953
FLASH-seq	ZHA8833A9	multi	4	551461
FLASH-seq	ZHA8833A9	multi	5	378303
FLASH-seq	ZHA8833A9	multi	6	195055
FLASH-seq	ZHA8833A9	multi	7	161330
FLASH-seq	ZHA8833A9	multi	8	80511
FLASH-seq	ZHA8833A9	multi	9	59997
FLASH-seq	ZHA8833A9	multi	10	72189
FLASH-seq	ZHA8833A9	multi	11	40497
FLASH-seq	ZHA8833A9	multi	12	35998
FLASH-seq	ZHA8833A9	multi	13	35969
FLASH-seq	ZHA8833A9	multi	14	19282
FLASH-seq	ZHA8833A9	multi	15	25584
FLASH-seq	ZHA8833A9	multi	16	10275
FLASH-seq	ZHA8833A9	multi	17	18826
FLASH-seq	ZHA8833A9	multi	18	6772
FLASH-seq	ZHA8833A9	multi	19	31445
FLASH-seq	ZHA8833A9	multi	20	49165
