dataset	bin	coverage	genes
VASA published, mouse	8	0.00960532	11377
VASA published, mouse	9	0.00981489	11377
VASA published, mouse	10	0.00988094	11377
VASA published, mouse	11	0.00997814	11377
VASA published, mouse	12	0.01008612	11377
VASA published, mouse	13	0.01015096	11377
VASA published, mouse	14	0.01011439	11377
VASA published, mouse	15	0.01017473	11377
VASA published, mouse	16	0.01039353	11377
VASA published, mouse	17	0.01037657	11377
VASA published, mouse	18	0.01035831	11377
VASA published, mouse	19	0.01038757	11377
VASA published, mouse	20	0.01051876	11377
VASA published, mouse	21	0.01040721	11377
VASA published, mouse	22	0.01037099	11377
VASA published, mouse	23	0.01029941	11377
VASA published, mouse	24	0.01039217	11377
VASA published, mouse	25	0.01031581	11377
VASA published, mouse	26	0.01020501	11377
VASA published, mouse	27	0.01029772	11377
VASA published, mouse	28	0.01040846	11377
VASA published, mouse	29	0.01042820	11377
VASA published, mouse	30	0.01042512	11377
VASA published, mouse	31	0.01041514	11377
VASA published, mouse	32	0.01044899	11377
VASA published, mouse	33	0.01058977	11377
VASA published, mouse	34	0.01042117	11377
VASA published, mouse	35	0.01031975	11377
VASA published, mouse	36	0.01030829	11377
VASA published, mouse	37	0.01025574	11377
VASA published, mouse	38	0.01038900	11377
VASA published, mouse	39	0.01054950	11377
VASA published, mouse	40	0.01038748	11377
VASA published, mouse	41	0.01048320	11377
VASA published, mouse	42	0.01064631	11377
VASA published, mouse	43	0.01052551	11377
VASA published, mouse	44	0.01044760	11377
VASA published, mouse	45	0.01049819	11377
VASA published, mouse	46	0.01068402	11377
VASA published, mouse	47	0.01056677	11377
VASA published, mouse	48	0.01038015	11377
VASA published, mouse	49	0.01036328	11377
VASA published, mouse	50	0.01031562	11377
VASA published, mouse	51	0.01048304	11377
VASA published, mouse	52	0.01038335	11377
VASA published, mouse	53	0.01039298	11377
VASA published, mouse	54	0.01061411	11377
VASA published, mouse	55	0.01050128	11377
VASA published, mouse	56	0.01060176	11377
VASA published, mouse	57	0.01059647	11377
VASA published, mouse	58	0.01055992	11377
VASA published, mouse	59	0.01072787	11377
VASA published, mouse	60	0.01064793	11377
VASA published, mouse	61	0.01058305	11377
VASA published, mouse	62	0.01052161	11377
VASA published, mouse	63	0.01040176	11377
VASA published, mouse	64	0.01053016	11377
VASA published, mouse	65	0.01051412	11377
VASA published, mouse	66	0.01048494	11377
VASA published, mouse	67	0.01051786	11377
VASA published, mouse	68	0.01048751	11377
VASA published, mouse	69	0.01054893	11377
VASA published, mouse	70	0.01041261	11377
VASA published, mouse	71	0.01032927	11377
VASA published, mouse	72	0.01054908	11377
VASA published, mouse	73	0.01064685	11377
VASA published, mouse	74	0.01057533	11377
VASA published, mouse	75	0.01064554	11377
VASA published, mouse	76	0.01054838	11377
VASA published, mouse	77	0.01046903	11377
VASA published, mouse	78	0.01065138	11377
VASA published, mouse	79	0.01075430	11377
VASA published, mouse	80	0.01059908	11377
VASA published, mouse	81	0.01065077	11377
VASA published, mouse	82	0.01069708	11377
VASA published, mouse	83	0.01072481	11377
VASA published, mouse	84	0.01079306	11377
VASA published, mouse	85	0.01076219	11377
VASA published, mouse	86	0.01063079	11377
VASA published, mouse	87	0.01076534	11377
VASA published, mouse	88	0.01066248	11377
VASA published, mouse	89	0.01071493	11377
VASA published, mouse	90	0.01060167	11377
VASA published, mouse	91	0.01053747	11377
VASA published, mouse	92	0.01046587	11377
VASA published, mouse	93	0.01035980	11377
VASA published, mouse	94	0.01012976	11377
VASA published, mouse	95	0.00961068	11377
VASA published, mouse	96	0.00869075	11377
VASA published, mouse	97	0.00724538	11377
VASA published, mouse	98	0.00528669	11377
VASA published, mouse	99	0.00301231	11377
VASA published, mouse	100	0.00143154	11377
FLASH-seq	1	0.00366725	11377
FLASH-seq	2	0.00678895	11377
FLASH-seq	3	0.00858164	11377
FLASH-seq	4	0.00912619	11377
FLASH-seq	5	0.00916751	11377
FLASH-seq	6	0.00945115	11377
FLASH-seq	7	0.00974817	11377
FLASH-seq	8	0.00989235	11377
FLASH-seq	9	0.00990609	11377
FLASH-seq	10	0.00995743	11377
FLASH-seq	11	0.01006294	11377
FLASH-seq	12	0.01006288	11377
FLASH-seq	13	0.00987618	11377
FLASH-seq	14	0.00988754	11377
FLASH-seq	15	0.00991702	11377
FLASH-seq	16	0.01020232	11377
FLASH-seq	17	0.01010823	11377
FLASH-seq	18	0.01024284	11377
FLASH-seq	19	0.01022284	11377
FLASH-seq	20	0.01024162	11377
FLASH-seq	21	0.01005391	11377
FLASH-seq	22	0.01024100	11377
FLASH-seq	23	0.01026781	11377
FLASH-seq	24	0.01028978	11377
FLASH-seq	25	0.01016302	11377
FLASH-seq	26	0.01001287	11377
FLASH-seq	27	0.01012450	11377
FLASH-seq	28	0.01017235	11377
FLASH-seq	29	0.01002783	11377
FLASH-seq	30	0.01004411	11377
FLASH-seq	31	0.01007978	11377
FLASH-seq	32	0.01012946	11377
FLASH-seq	33	0.01012326	11377
FLASH-seq	34	0.01023638	11377
FLASH-seq	35	0.01029535	11377
FLASH-seq	36	0.01034106	11377
FLASH-seq	37	0.01039077	11377
FLASH-seq	38	0.01038508	11377
FLASH-seq	39	0.01055182	11377
FLASH-seq	40	0.01057152	11377
FLASH-seq	41	0.01059372	11377
FLASH-seq	42	0.01082131	11377
FLASH-seq	43	0.01069648	11377
FLASH-seq	44	0.01081558	11377
FLASH-seq	45	0.01081570	11377
FLASH-seq	46	0.01077596	11377
FLASH-seq	47	0.01080289	11377
FLASH-seq	48	0.01082465	11377
FLASH-seq	49	0.01079977	11377
FLASH-seq	50	0.01080159	11377
FLASH-seq	51	0.01085233	11377
