level	key	biotype	reads	UFIs	transcripts	read_per_UFI	read_per_transcript	pct_of_reads__or__rRNApct_strandedY	pct_of_UFIs__or__rRNApct_strandedN	pct_of_transcripts__or__fwd_share_of_ribo	share_ratio_read_over_UFI__or__n_over_y	genes_det_reads	genes_det_UFIs
biotype	ProcessedPseudogene-TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	ProcessedPseudogene-TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	45	36	36.0193	1.25	1.24933	0.000109972	0.000236589	0.000218035	0.464821		
biotype	ProcessedPseudogene-ProteinCoding-TranscribedUnitaryPseudogene-lncRNA	ProcessedPseudogene-ProteinCoding-TranscribedUnitaryPseudogene-lncRNA	44	33	33.0046	1.33333	1.33315	0.000107528	0.000216873	0.000199786	0.495809		
biotype	TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	TranscribedProcessedPseudogene-UnprocessedPseudogene-lncRNA	36	25	25.0093	1.44	1.43947	8.79773e-05	0.000164298	0.000151388	0.535474		
biotype	ProcessedPseudogene-UnprocessedPseudogene	ProcessedPseudogene-UnprocessedPseudogene	28	18	18	1.55556	1.55556	6.84268e-05	0.000118295	0.000108959	0.578444		
biotype	ProcessedPseudogene-ProteinCoding-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	ProcessedPseudogene-ProteinCoding-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	25	20	20.0044	1.25	1.24973	6.10954e-05	0.000131438	0.000121092	0.464821		
biotype	IgVGene	IgVGene	23	21	21.001	1.09524	1.09519	5.62077e-05	0.00013801	0.000127125	0.407272		
biotype	IgVPseudogene	IgVPseudogene	21	16	16	1.3125	1.3125	5.13201e-05	0.000105151	9.68524e-05	0.488062		
biotype	TrVGene	TrVGene	20	18	18.0005	1.11111	1.11108	4.88763e-05	0.000118295	0.000108962	0.413174		
biotype	ProcessedPseudogene-TranscribedUnprocessedPseudogene	ProcessedPseudogene-TranscribedUnprocessedPseudogene	19	11	11.0005	1.72727	1.7272	4.64325e-05	7.22911e-05	6.6589e-05	0.642298		
biotype	IgCGene	IgCGene	16	16	16.0007	1	0.999954	3.9101e-05	0.000105151	9.68568e-05	0.371857		
biotype	ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	15	10	10	1.5	1.5	3.66572e-05	6.57192e-05	6.05327e-05	0.557785		
biotype	TrVPseudogene	TrVPseudogene	14	8	8.00024	1.75	1.74995	3.42134e-05	5.25754e-05	4.84277e-05	0.65075		
biotype	ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene	ProteinCoding-TranscribedProcessedPseudogene-UnprocessedPseudogene	13	7	7.00024	1.85714	1.85708	3.17696e-05	4.60034e-05	4.23744e-05	0.690591		
biotype	ProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene	ProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene	8	4	4.00024	2	1.99988	1.95505e-05	2.62877e-05	2.42146e-05	0.743714		
biotype	pseudogene	pseudogene	8	6	6.00024	1.33333	1.33328	1.95505e-05	3.94315e-05	3.63211e-05	0.495809		
biotype	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	ProcessedPseudogene-ProteinCoding-TranscribedProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	7	7	7	1	1	1.71067e-05	4.60034e-05	4.23729e-05	0.371857		
biotype	TrCGene	TrCGene	6	6	6	1	1	1.46629e-05	3.94315e-05	3.63196e-05	0.371857		
biotype	ProteinCoding-TranscribedUnitaryPseudogene-UnitaryPseudogene-lncRNA	ProteinCoding-TranscribedUnitaryPseudogene-UnitaryPseudogene-lncRNA	6	3	3	2	2	1.46629e-05	1.97158e-05	1.81598e-05	0.743714		
