dataset	cell	class	ngenes	reads
own library, 75 nt	001	multi	15	171
own library, 75 nt	001	multi	16	22
own library, 75 nt	001	multi	17	31
own library, 75 nt	001	multi	18	19
own library, 75 nt	001	multi	19	10
own library, 75 nt	001	multi	20	55
own library, 75 nt	001	single	1	37268
own library, 75 nt	001	single	2	2495
own library, 75 nt	001	single	3	248
own library, 75 nt	001	single	4	11
own library, 75 nt	001	single	17	1
own library, 75 nt	001	single	20	7
own library, 75 nt	002	multi	1	71652
own library, 75 nt	002	multi	2	302306
own library, 75 nt	002	multi	3	52832
own library, 75 nt	002	multi	4	49195
own library, 75 nt	002	multi	5	77429
own library, 75 nt	002	multi	6	11625
own library, 75 nt	002	multi	7	47867
own library, 75 nt	002	multi	8	6167
own library, 75 nt	002	multi	9	19230
own library, 75 nt	002	multi	10	10590
own library, 75 nt	002	multi	11	3180
own library, 75 nt	002	multi	12	10363
own library, 75 nt	002	multi	13	9288
own library, 75 nt	002	multi	14	1841
own library, 75 nt	002	multi	15	4393
own library, 75 nt	002	multi	16	693
own library, 75 nt	002	multi	17	707
own library, 75 nt	002	multi	18	547
own library, 75 nt	002	multi	19	265
own library, 75 nt	002	multi	20	1601
own library, 75 nt	002	single	1	761299
own library, 75 nt	002	single	2	62668
own library, 75 nt	002	single	3	5835
own library, 75 nt	002	single	4	298
own library, 75 nt	002	single	5	2
own library, 75 nt	002	single	6	2
own library, 75 nt	002	single	7	1
own library, 75 nt	002	single	8	2
own library, 75 nt	002	single	9	1
own library, 75 nt	002	single	13	1
own library, 75 nt	002	single	14	1
own library, 75 nt	002	single	15	7
own library, 75 nt	002	single	16	4
own library, 75 nt	002	single	17	3
own library, 75 nt	002	single	18	4
own library, 75 nt	002	single	20	91
own library, 75 nt	003	multi	1	112611
own library, 75 nt	003	multi	2	267582
own library, 75 nt	003	multi	3	88409
own library, 75 nt	003	multi	4	93827
own library, 75 nt	003	multi	5	222718
own library, 75 nt	003	multi	6	27534
own library, 75 nt	003	multi	7	128774
own library, 75 nt	003	multi	8	13749
own library, 75 nt	003	multi	9	58099
own library, 75 nt	003	multi	10	30691
own library, 75 nt	003	multi	11	7262
own library, 75 nt	003	multi	12	21435
own library, 75 nt	003	multi	13	20955
own library, 75 nt	003	multi	14	5102
own library, 75 nt	003	multi	15	8614
own library, 75 nt	003	multi	16	1239
own library, 75 nt	003	multi	17	1188
own library, 75 nt	003	multi	18	1049
own library, 75 nt	003	multi	19	563
own library, 75 nt	003	multi	20	3571
own library, 75 nt	003	single	1	1468485
own library, 75 nt	003	single	2	166411
own library, 75 nt	003	single	3	14984
own library, 75 nt	003	single	4	761
own library, 75 nt	003	single	5	2
own library, 75 nt	003	single	6	1
own library, 75 nt	003	single	7	6
own library, 75 nt	003	single	8	9
own library, 75 nt	003	single	9	8
own library, 75 nt	003	single	13	4
own library, 75 nt	003	single	15	6
own library, 75 nt	003	single	16	3
own library, 75 nt	003	single	17	2
own library, 75 nt	003	single	18	2
own library, 75 nt	003	single	19	12
own library, 75 nt	003	single	20	123
own library, 75 nt	004	multi	1	116292
own library, 75 nt	004	multi	2	269500
own library, 75 nt	004	multi	3	72732
own library, 75 nt	004	multi	4	66205
own library, 75 nt	004	multi	5	114937
own library, 75 nt	004	multi	6	19766
own library, 75 nt	004	multi	7	76228
own library, 75 nt	004	multi	8	10630
own library, 75 nt	004	multi	9	27722
own library, 75 nt	004	multi	10	18973
own library, 75 nt	004	multi	11	5776
own library, 75 nt	004	multi	12	20107
own library, 75 nt	004	multi	13	16478
own library, 75 nt	004	multi	14	3126
own library, 75 nt	004	multi	15	7309
own library, 75 nt	004	multi	16	947
own library, 75 nt	004	multi	17	896
own library, 75 nt	004	multi	18	651
own library, 75 nt	004	multi	19	447
own library, 75 nt	004	multi	20	2445
own library, 75 nt	004	single	1	1046079
own library, 75 nt	004	single	2	86249
own library, 75 nt	004	single	3	7737
own library, 75 nt	004	single	4	456
own library, 75 nt	004	single	5	7
own library, 75 nt	004	single	8	4
own library, 75 nt	004	single	14	4
own library, 75 nt	004	single	15	13
own library, 75 nt	004	single	16	3
own library, 75 nt	004	single	18	2
own library, 75 nt	004	single	19	4
own library, 75 nt	004	single	20	141
own library, 75 nt	005	multi	1	77294
own library, 75 nt	005	multi	2	307870
own library, 75 nt	005	multi	3	60634
own library, 75 nt	005	multi	4	57303
own library, 75 nt	005	multi	5	102527
own library, 75 nt	005	multi	6	14892
own library, 75 nt	005	multi	7	65963
own library, 75 nt	005	multi	8	8434
own library, 75 nt	005	multi	9	23522
own library, 75 nt	005	multi	10	13957
own library, 75 nt	005	multi	11	4386
own library, 75 nt	005	multi	12	14603
own library, 75 nt	005	multi	13	12577
own library, 75 nt	005	multi	14	2704
own library, 75 nt	005	multi	15	5803
