dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
own library, 130 nt	013	single	4798690	3938006	5453767	3669226	268780	2908631	834162	757	194456	0	0
own library, 130 nt	014	multi	70049	52267	133586	30760	21507	5571	34656	0	12040	0	0
own library, 130 nt	014	single	57675	29900	36938	28491	1409	14033	14730	2	1135	0	0
own library, 130 nt	015	multi	84459	64755	175234	35540	29215	9565	41920	0	13270	0	0
own library, 130 nt	015	single	85198	50665	64305	48514	2151	28817	19702	5	2141	0	0
own library, 130 nt	016	multi	41328	30918	77598	19999	10919	3039	22620	1	5258	0	0
own library, 130 nt	016	single	34992	18305	22256	17683	622	7686	10009	1	609	0	0
own library, 75 nt	001	multi	63594	50841	160557	26478	24363	8656	29783	3	12399	0	0
own library, 75 nt	001	single	61952	40030	49068	38066	1964	23822	14632	8	1568	0	0
own library, 75 nt	002	multi	732998	681771	2735920	113131	568640	174443	352301	70	154957	0	0
own library, 75 nt	002	single	1131107	830219	1072419	777467	52752	604001	191156	164	34898	0	0
own library, 75 nt	003	multi	1190637	1114972	5703066	187786	927186	458566	303212	129	353065	0	0
own library, 75 nt	003	single	1923261	1650819	2183540	1501845	148974	1270260	305029	253	75277	0	0
own library, 75 nt	004	multi	933485	851167	3876836	188211	662956	257017	337318	104	256728	0	0
own library, 75 nt	004	single	1478627	1140699	1468356	1068932	71767	838126	254512	187	47874	0	0
own library, 75 nt	005	multi	831198	777244	3359743	126019	651225	228209	350634	79	198322	0	0
own library, 75 nt	005	single	1280665	1001537	1295289	935610	65927	742186	217147	163	42041	0	0
own library, 75 nt	006	multi	1166652	1070240	4411820	218679	851561	309823	491102	109	269206	0	0
own library, 75 nt	006	single	2047379	1557402	1991766	1477947	79455	1128457	364624	246	64075	0	0
own library, 75 nt	007	multi	2280128	2121284	10234818	403357	1717927	777930	681164	153	662037	0	0
own library, 75 nt	007	single	4210545	3525062	4527973	3319651	205411	2584368	792310	586	147798	0	0
own library, 75 nt	008	multi	1483333	1364009	5934437	272745	1091264	366550	612701	147	384611	0	0
own library, 75 nt	008	single	2610236	1946559	2470438	1845093	101466	1377241	486736	506	82076	0	0
own library, 75 nt	009	multi	1700859	1579409	7078070	307821	1271588	573419	555447	132	450411	0	0
own library, 75 nt	009	single	3284522	2732895	3503474	2595101	137794	2010742	610800	396	110957	0	0
own library, 75 nt	010	multi	3509748	3333472	18071319	519003	2814469	1138148	933491	325	1261508	0	0
own library, 75 nt	010	single	6159789	5278493	6823113	4948781	329712	3869293	1183959	900	224341	0	0
own library, 75 nt	011	multi	3576575	3398089	19393379	511082	2887007	1177467	850851	270	1369501	0	0
own library, 75 nt	011	single	6150491	5321466	6927195	4946452	375014	3904332	1174769	958	241407	0	0
own library, 75 nt	012	multi	2845254	2698157	14705357	428596	2269561	994891	696538	249	1006479	0	0
own library, 75 nt	012	single	5078220	4361416	5646889	4075311	286105	3215818	957188	531	187879	0	0
own library, 75 nt	013	multi	2983882	2827311	15460861	401797	2425514	861809	904230	277	1060995	0	0
own library, 75 nt	013	single	4497200	3691654	4785487	3438383	253271	2697692	829392	701	163869	0	0
