dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
VASA published, mouse	022	multi	46859	42891	183820	13468	29423	17921	11519	0	13451	0	0
VASA published, mouse	022	single	374258	347561	416576	339556	8005	177435	156340	10	13776	0	0
VASA published, mouse	026	multi	21225	19355	78147	6201	13154	8612	4381	1	6361	0	0
VASA published, mouse	026	single	133750	127371	154420	124709	2662	74438	47606	35	5292	0	0
VASA published, mouse	032	multi	16790	15660	61810	4805	10855	6868	3766	1	5025	0	0
VASA published, mouse	032	single	123190	117039	141375	114930	2109	67058	44983	6	4992	0	0
VASA published, mouse	034	multi	19857	18383	76537	5289	13094	8771	3968	0	5644	0	0
VASA published, mouse	034	single	134430	127014	152713	124588	2426	71270	50709	2	5033	0	0
VASA published, mouse	036	multi	36293	32464	130473	10253	22211	14595	7617	1	10251	0	0
VASA published, mouse	036	single	241395	228455	276449	224168	4287	128019	91778	4	8654	0	0
VASA published, mouse	038	multi	10651	9467	37020	3662	5805	3458	3192	0	2817	0	0
VASA published, mouse	038	single	83438	76564	91686	75059	1505	41028	32611	0	2925	0	0
VASA published, mouse	040	multi	4811	4381	18138	1341	3040	1973	1064	2	1342	0	0
VASA published, mouse	040	single	33196	30586	37067	29973	613	17140	12344	0	1102	0	0
VASA published, mouse	042	multi	15165	13958	62409	3916	10042	5945	3012	0	5001	0	0
VASA published, mouse	042	single	95149	89134	108392	87289	1845	51963	33554	0	3617	0	0
VASA published, mouse	044	multi	17804	16697	65696	4852	11845	8402	3309	0	4986	0	0
VASA published, mouse	044	single	114025	109799	134434	107755	2044	66629	38916	2	4252	0	0
VASA published, mouse	046	multi	15030	12795	55477	3080	9715	7024	1556	0	4215	0	0
VASA published, mouse	046	single	42914	32920	41886	32341	579	27851	3912	0	1157	0	0
VASA published, mouse	050	multi	14532	13429	55044	3697	9732	7061	2204	0	4164	0	0
VASA published, mouse	050	single	72595	66613	80456	65329	1284	41553	22551	0	2509	0	0
VASA published, mouse	054	multi	8401	7449	27041	2653	4796	3222	2055	0	2172	0	0
VASA published, mouse	054	single	55365	51007	60487	49904	1103	25894	23135	2	1976	0	0
VASA published, mouse	056	multi	110778	103241	492822	23608	79633	47725	17426	10	38080	0	0
VASA published, mouse	056	single	594069	564415	694713	548796	15619	333524	206849	46	23996	0	0
VASA published, mouse	058	multi	13300	12510	52723	3485	9025	6137	2116	1	4256	0	0
VASA published, mouse	058	single	83676	78965	95587	77554	1411	47323	28601	2	3039	0	0
VASA published, mouse	060	multi	25329	23817	99491	7200	16617	10615	5710	0	7492	0	0
VASA published, mouse	060	single	195130	187761	226852	183656	4105	104458	75798	0	7505	0	0
VASA published, mouse	062	multi	25092	23131	92067	7485	15646	10862	5447	0	6822	0	0
VASA published, mouse	062	single	189664	175605	206865	171712	3893	85608	82912	2	7083	0	0
VASA published, mouse	064	multi	33682	24262	92095	8776	15486	10334	6152	2	7774	0	0
VASA published, mouse	064	single	158164	141342	171298	138732	2610	83935	52233	0	5174	0	0
VASA published, mouse	066	multi	43738	40240	161727	12387	27853	17419	10417	7	12397	0	0
VASA published, mouse	066	single	278752	262074	317912	257147	4927	150209	101544	23	10298	0	0
VASA published, mouse	068	multi	20453	18444	74771	5169	13275	8899	3584	0	5961	0	0
VASA published, mouse	068	single	123466	115034	140238	112827	2207	74432	36704	0	3898	0	0
VASA published, mouse	070	multi	19351	17436	69432	5615	11821	6969	4561	1	5905	0	0
VASA published, mouse	070	single	118658	109545	131315	107179	2366	58556	46423	0	4566	0	0
VASA published, mouse	076	multi	42217	38269	149087	12803	25466	16796	9913	0	11560	0	0
VASA published, mouse	076	single	279270	259674	312765	254186	5488	146244	102201	27	11202	0	0
VASA published, mouse	078	multi	38184	35313	147993	10456	24857	15908	7824	1	11580	0	0
VASA published, mouse	078	single	244458	230053	281519	225237	4816	138721	82086	14	9232	0	0
VASA published, mouse	080	multi	32198	30204	124758	8162	22042	14617	6007	0	9580	0	0
VASA published, mouse	080	single	207901	199564	243385	195214	4350	116747	74828	8	7981	0	0
VASA published, mouse	082	multi	18223	16683	64708	4927	11756	8344	3122	0	5217	0	0
VASA published, mouse	082	single	93669	86114	103732	84417	1697	52031	30977	4	3102	0	0
VASA published, mouse	084	multi	13718	12772	51511	3399	9373	6574	2217	2	3979	0	0
VASA published, mouse	084	single	78755	73984	89402	72534	1450	44442	26687	0	2855	0	0
VASA published, mouse	086	multi	17920	16669	65844	4886	11783	7990	3341	0	5338	0	0
VASA published, mouse	086	single	117823	111029	133065	108871	2158	63541	43330	0	4158	0	0
VASA published, mouse	088	multi	51821	47351	184144	13471	33880	23754	9719	0	13878	0	0
VASA published, mouse	088	single	295248	278409	335836	273362	5047	164428	106044	25	7912	0	0
VASA published, mouse	090	multi	73753	68400	293330	18972	49428	30610	14298	2	23490	0	0
VASA published, mouse	090	single	449372	419173	507080	409968	9205	238381	163317	6	17469	0	0
VASA published, mouse	092	multi	40244	36224	146005	10490	25734	18163	6547	0	11514	0	0
VASA published, mouse	092	single	239088	225585	273479	221413	4172	134694	82485	6	8400	0	0
VASA published, mouse	094	multi	33955	30870	120876	9156	21714	14742	6793	10	9325	0	0
VASA published, mouse	094	single	224904	213097	259995	208794	4303	127596	77491	5	8005	0	0
VASA published, mouse	098	multi	21899	18707	77564	5202	13505	9648	2643	0	6416	0	0
VASA published, mouse	098	single	85356	77678	95851	76221	1457	55362	19487	4	2825	0	0
VASA published, mouse	100	multi	47497	44152	183539	12083	32069	21359	8023	1	14769	0	0
VASA published, mouse	100	single	297745	285144	349936	279624	5520	180911	93814	10	10409	0	0
VASA published, mouse	104	multi	16557	15005	59949	4949	10056	6664	3455	0	4886	0	0
VASA published, mouse	104	single	100336	93137	112366	91292	1845	54829	34614	3	3691	0	0
VASA published, mouse	106	multi	25991	24135	94410	6951	17184	11607	5210	0	7318	0	0
VASA published, mouse	106	single	148713	138008	165676	135687	2321	80110	52892	1	5005	0	0
VASA published, mouse	108	multi	37958	34147	140640	10786	23361	14855	8403	0	10889	0	0
VASA published, mouse	108	single	259485	242703	290139	237601	5102	129007	104092	8	9596	0	0
VASA published, mouse	112	multi	52050	46823	181993	15689	31134	19971	12541	3	14308	0	0
VASA published, mouse	112	single	374913	349132	417139	342492	6640	188095	147951	12	13074	0	0
VASA published, mouse	114	multi	35299	31823	142616	6587	25236	18468	4481	1	8873	0	0
VASA published, mouse	114	single	115653	103126	127007	100324	2802	66956	31980	19	4171	0	0
VASA published, mouse	116	multi	59184	53826	214568	16713	37113	24974	12344	4	16504	0	0
VASA published, mouse	116	single	389551	365739	443478	358466	7273	215134	136781	11	13813	0	0
VASA published, mouse	118	multi	8147	7173	26687	2373	4800	3070	1879	2	2222	0	0
VASA published, mouse	118	single	49382	44639	54239	43681	958	26460	16505	1	1673	0	0
VASA published, mouse	122	multi	23627	21393	86061	6432	14961	10192	4373	2	6826	0	0
VASA published, mouse	122	single	133294	122992	148817	120504	2488	73138	45093	0	4761	0	0
VASA published, mouse	124	multi	40455	37331	157629	10336	26995	17919	7092	2	12318	0	0
VASA published, mouse	124	single	272713	256346	314102	251147	5199	158246	87617	9	10474	0	0
VASA published, mouse	126	multi	3981	3604	14035	1134	2470	1586	845	0	1173	0	0
VASA published, mouse	126	single	22714	20799	25124	20385	414	12744	7283	2	770	0	0
VASA published, mouse	128	multi	47798	44087	180959	13603	30484	20136	9959	0	13992	0	0
VASA published, mouse	128	single	304573	284797	345778	278818	5979	165459	108539	3	10796	0	0
VASA published, mouse	130	multi	14636	13902	65772	2347	11555	8710	1220	3	3969	0	0
VASA published, mouse	130	single	33127	29644	37753	28578	1066	22648	5769	12	1215	0	0
VASA published, mouse	132	multi	32899	30187	122551	8529	21658	15064	5788	1	9334	0	0
VASA published, mouse	132	single	164613	152426	185011	149622	2804	95179	51631	14	5602	0	0
VASA published, mouse	134	multi	23423	10436	35133	5339	5097	3632	3783	0	3021	0	0
VASA published, mouse	134	single	68545	40599	48594	39873	726	21160	17655	0	1784	0	0
VASA published, mouse	136	multi	19571	18008	72926	5402	12606	8531	4060	2	5415	0	0
VASA published, mouse	136	single	127212	118261	143113	116033	2228	69412	44207	1	4641	0	0
VASA published, mouse	138	multi	16594	15065	61308	3822	11243	7923	2437	1	4704	0	0
VASA published, mouse	138	single	93168	87571	107120	85508	2063	54450	29935	0	3186	0	0
VASA published, mouse	140	multi	31374	28951	116723	8858	20093	12915	6904	0	9132	0	0
VASA published, mouse	140	single	198501	185376	223953	181625	3751	107642	70081	1	7652	0	0
VASA published, mouse	142	multi	41284	37313	148134	11216	26097	17624	8390	3	11296	0	0
VASA published, mouse	142	single	265718	245469	297097	240480	4989	142506	92853	2	10108	0	0
VASA published, mouse	146	multi	10580	9777	41095	2648	7129	4809	1559	0	3409	0	0
VASA published, mouse	146	single	57575	53315	65203	52385	930	36200	15184	2	1929	0	0
VASA published, mouse	148	multi	30735	28171	114578	8527	19644	12567	6365	1	9238	0	0
