dataset	cell	class	biotype	reads
FLASH-seq	ZHA8833A2	single	IgCGene	14
FLASH-seq	ZHA8833A2	single	TrCGene	10
FLASH-seq	ZHA8833A2	single	TrVGene	10
FLASH-seq	ZHA8833A2	single	IgVPseudogene	7
FLASH-seq	ZHA8833A2	single	pseudogene	6
FLASH-seq	ZHA8833A3	multi	ProteinCoding	2781338
FLASH-seq	ZHA8833A3	multi	lncRNA	1615122
FLASH-seq	ZHA8833A3	multi	ProcessedPseudogene	1265993
FLASH-seq	ZHA8833A3	multi	TranscribedProcessedPseudogene	568727
FLASH-seq	ZHA8833A3	multi	UnprocessedPseudogene	227243
FLASH-seq	ZHA8833A3	multi	miRNA	62010
FLASH-seq	ZHA8833A3	multi	MiscRna	55103
FLASH-seq	ZHA8833A3	multi	TranscribedUnprocessedPseudogene	41235
FLASH-seq	ZHA8833A3	multi	TEC	33991
FLASH-seq	ZHA8833A3	multi	TranscribedUnitaryPseudogene	16352
FLASH-seq	ZHA8833A3	multi	MtTrna	6878
FLASH-seq	ZHA8833A3	multi	UnitaryPseudogene	6476
FLASH-seq	ZHA8833A3	multi	tRNA	804
FLASH-seq	ZHA8833A3	multi	snoRNA	447
FLASH-seq	ZHA8833A3	multi	snRNA	123
FLASH-seq	ZHA8833A3	multi	rRNA	61
FLASH-seq	ZHA8833A3	multi	pseudogene	37
FLASH-seq	ZHA8833A3	multi	ribozyme	9
FLASH-seq	ZHA8833A3	multi	scaRNA	3
FLASH-seq	ZHA8833A3	multi	MtRrna	2
FLASH-seq	ZHA8833A3	multi	TrCGene	1
FLASH-seq	ZHA8833A3	multi	TranslatedUnprocessedPseudogene	1
FLASH-seq	ZHA8833A3	single	ProteinCoding	3958038
FLASH-seq	ZHA8833A3	single	lncRNA	560719
FLASH-seq	ZHA8833A3	single	miRNA	19282
FLASH-seq	ZHA8833A3	single	ProcessedPseudogene	10160
FLASH-seq	ZHA8833A3	single	TranscribedProcessedPseudogene	9759
FLASH-seq	ZHA8833A3	single	TEC	4267
FLASH-seq	ZHA8833A3	single	TranscribedUnprocessedPseudogene	3370
FLASH-seq	ZHA8833A3	single	snoRNA	1354
FLASH-seq	ZHA8833A3	single	UnitaryPseudogene	412
FLASH-seq	ZHA8833A3	single	UnprocessedPseudogene	363
FLASH-seq	ZHA8833A3	single	tRNA	340
FLASH-seq	ZHA8833A3	single	MiscRna	337
FLASH-seq	ZHA8833A3	single	snRNA	150
FLASH-seq	ZHA8833A3	single	scaRNA	88
FLASH-seq	ZHA8833A3	single	TranscribedUnitaryPseudogene	27
FLASH-seq	ZHA8833A3	single	rRNA	3
FLASH-seq	ZHA8833A4	multi	ProteinCoding	3407752
FLASH-seq	ZHA8833A4	multi	lncRNA	2004141
FLASH-seq	ZHA8833A4	multi	ProcessedPseudogene	1618906
FLASH-seq	ZHA8833A4	multi	TranscribedProcessedPseudogene	724869
FLASH-seq	ZHA8833A4	multi	UnprocessedPseudogene	239522
FLASH-seq	ZHA8833A4	multi	miRNA	79091
FLASH-seq	ZHA8833A4	multi	MiscRna	70321
FLASH-seq	ZHA8833A4	multi	TranscribedUnprocessedPseudogene	49585
FLASH-seq	ZHA8833A4	multi	TEC	44884
FLASH-seq	ZHA8833A4	multi	TranscribedUnitaryPseudogene	19938
FLASH-seq	ZHA8833A4	multi	UnitaryPseudogene	7729
FLASH-seq	ZHA8833A4	multi	MtTrna	7658
FLASH-seq	ZHA8833A4	multi	tRNA	865
FLASH-seq	ZHA8833A4	multi	snoRNA	491
FLASH-seq	ZHA8833A4	multi	snRNA	127
FLASH-seq	ZHA8833A4	multi	pseudogene	44
FLASH-seq	ZHA8833A4	multi	rRNA	42
FLASH-seq	ZHA8833A4	multi	ribozyme	9
FLASH-seq	ZHA8833A4	multi	TrVGene	8
FLASH-seq	ZHA8833A4	multi	TrVPseudogene	2
FLASH-seq	ZHA8833A4	multi	TranslatedUnprocessedPseudogene	2
FLASH-seq	ZHA8833A4	multi	IgVPseudogene	1
FLASH-seq	ZHA8833A4	multi	MtRrna	1
FLASH-seq	ZHA8833A4	multi	TrCGene	1
FLASH-seq	ZHA8833A4	multi	scaRNA	1
FLASH-seq	ZHA8833A4	single	ProteinCoding	23652418
FLASH-seq	ZHA8833A4	single	lncRNA	3373581
FLASH-seq	ZHA8833A4	single	TEC	122901
FLASH-seq	ZHA8833A4	single	miRNA	90424
FLASH-seq	ZHA8833A4	single	ProcessedPseudogene	87624
FLASH-seq	ZHA8833A4	single	TranscribedProcessedPseudogene	44666
FLASH-seq	ZHA8833A4	single	TranscribedUnprocessedPseudogene	16457
FLASH-seq	ZHA8833A4	single	snoRNA	6874
FLASH-seq	ZHA8833A4	single	MtTrna	3291
FLASH-seq	ZHA8833A4	single	TranscribedUnitaryPseudogene	2864
FLASH-seq	ZHA8833A4	single	MiscRna	2444
FLASH-seq	ZHA8833A4	single	UnprocessedPseudogene	2033
FLASH-seq	ZHA8833A4	single	UnitaryPseudogene	1046
FLASH-seq	ZHA8833A4	single	tRNA	905
FLASH-seq	ZHA8833A4	single	snRNA	724
FLASH-seq	ZHA8833A4	single	rRNA	321
FLASH-seq	ZHA8833A4	single	MtRrna	248
FLASH-seq	ZHA8833A4	single	ribozyme	195
FLASH-seq	ZHA8833A4	single	scaRNA	132
FLASH-seq	ZHA8833A4	single	TrVGene	17
FLASH-seq	ZHA8833A4	single	IgCGene	14
FLASH-seq	ZHA8833A4	single	pseudogene	13
FLASH-seq	ZHA8833A4	single	TranslatedUnprocessedPseudogene	12
FLASH-seq	ZHA8833A4	single	IgVGene	8
FLASH-seq	ZHA8833A4	single	TrCGene	4
FLASH-seq	ZHA8833A5	multi	ProteinCoding	3318245
FLASH-seq	ZHA8833A5	multi	lncRNA	1924011
FLASH-seq	ZHA8833A5	multi	ProcessedPseudogene	1553963
FLASH-seq	ZHA8833A5	multi	TranscribedProcessedPseudogene	693058
FLASH-seq	ZHA8833A5	multi	UnprocessedPseudogene	256148
FLASH-seq	ZHA8833A5	multi	miRNA	66940
FLASH-seq	ZHA8833A5	multi	MiscRna	57209
FLASH-seq	ZHA8833A5	multi	TranscribedUnprocessedPseudogene	49081
FLASH-seq	ZHA8833A5	multi	TEC	40382
FLASH-seq	ZHA8833A5	multi	TranscribedUnitaryPseudogene	19423
FLASH-seq	ZHA8833A5	multi	UnitaryPseudogene	8084
FLASH-seq	ZHA8833A5	multi	MtTrna	7713
FLASH-seq	ZHA8833A5	multi	tRNA	1016
FLASH-seq	ZHA8833A5	multi	snoRNA	487
FLASH-seq	ZHA8833A5	multi	snRNA	135
