dataset	unit	probe_residual	reads_in	pct
VASA published, mouse	114	1672	181363	0.9219
VASA published, mouse	116	5631	533210	1.0561
VASA published, mouse	118	1070	71965	1.4868
VASA published, mouse	122	1562	184807	0.8452
VASA published, mouse	124	4284	377470	1.1349
VASA published, mouse	126	260	31930	0.8143
VASA published, mouse	128	4931	425260	1.1595
VASA published, mouse	130	417	56683	0.7357
VASA published, mouse	132	1404	229530	0.6117
VASA published, mouse	134	636	112657	0.5645
VASA published, mouse	136	1629	178428	0.9130
VASA published, mouse	138	1506	139985	1.0758
VASA published, mouse	140	2181	277355	0.7864
VASA published, mouse	142	3795	371191	1.0224
VASA published, mouse	146	564	82552	0.6832
VASA published, mouse	148	2457	265371	0.9259
VASA published, mouse	150	1747	190240	0.9183
VASA published, mouse	154	4121	415574	0.9916
VASA published, mouse	156	2739	234453	1.1683
VASA published, mouse	158	2835	273646	1.0360
VASA published, mouse	160	19149	257790	7.4281
VASA published, mouse	162	2091	200909	1.0408
VASA published, mouse	164	1048	130757	0.8015
VASA published, mouse	166	495	83273	0.5944
VASA published, mouse	170	1285	104210	1.2331
VASA published, mouse	172	1019	184880	0.5512
VASA published, mouse	174	970	126991	0.7638
VASA published, mouse	176	946	159324	0.5938
VASA published, mouse	178	1465	202387	0.7239
VASA published, mouse	180	3054	352626	0.8661
VASA published, mouse	182	1160	166426	0.6970
VASA published, mouse	184	2954	306910	0.9625
VASA published, mouse	186	5862	593613	0.9875
VASA published, mouse	188	2548	227529	1.1199
VASA published, mouse	190	3470	288446	1.2030
VASA published, mouse	194	207	49541	0.4178
VASA published, mouse	196	1587	117239	1.3536
VASA published, mouse	198	1534	221515	0.6925
VASA published, mouse	200	2939	295294	0.9953
VASA published, mouse	202	7362	666968	1.1038
VASA published, mouse	204	9768	281367	3.4716
VASA published, mouse	208	7539	390265	1.9318
VASA published, mouse	210	4528	402885	1.1239
VASA published, mouse	214	758	75957	0.9979
VASA published, mouse	215	2072	190258	1.0890
VASA published, mouse	218	4095	329449	1.2430
VASA published, mouse	220	6703	537763	1.2465
VASA published, mouse	222	2415	350341	0.6893
VASA published, mouse	224	522	77076	0.6773
VASA published, mouse	226	753	144191	0.5222
VASA published, mouse	228	136	33824	0.4021
VASA published, mouse	230	760	107248	0.7086
VASA published, mouse	232	2245	180263	1.2454
VASA published, mouse	234	3946	284670	1.3862
VASA published, mouse	236	680	83011	0.8192
VASA published, mouse	238	286	45505	0.6285
VASA published, mouse	242	3190	270489	1.1793
VASA published, mouse	244	2859	319188	0.8957
VASA published, mouse	246	1812	233708	0.7753
VASA published, mouse	248	5853	549535	1.0651
VASA published, mouse	250	6263	387392	1.6167
VASA published, mouse	252	6204	539886	1.1491
VASA published, mouse	254	5442	546614	0.9956
VASA published, mouse	256	4099	344950	1.1883
VASA published, mouse	258	4598	385001	1.1943
VASA published, mouse	260	5608	306933	1.8271
VASA published, mouse	262	1817	188762	0.9626
VASA published, mouse	263	3044	226727	1.3426
VASA published, mouse	266	15936	887339	1.7959
VASA published, mouse	268	1442	211287	0.6825
VASA published, mouse	270	4382	303244	1.4450
VASA published, mouse	272	3941	276377	1.4260
VASA published, mouse	274	2315	165492	1.3989
VASA published, mouse	276	8271	618607	1.3370
VASA published, mouse	278	900	107057	0.8407
VASA published, mouse	280	205	29042	0.7059
VASA published, mouse	282	6711	484550	1.3850
VASA published, mouse	284	2427	270695	0.8966
VASA published, mouse	286	4280	364024	1.1757
VASA published, mouse	287	7827	778240	1.0057
VASA published, mouse	290	587	80131	0.7326
VASA published, mouse	292	336	66119	0.5082
VASA published, mouse	294	7596	556758	1.3643
VASA published, mouse	296	9112	654827	1.3915
VASA published, mouse	298	443	53757	0.8241
VASA published, mouse	300	13282	850766	1.5612
VASA published, mouse	302	2666	317275	0.8403
VASA published, mouse	304	4985	65034	7.6652
VASA published, mouse	306	1442	106313	1.3564
VASA published, mouse	308	6933	468629	1.4794
VASA published, mouse	310	8579	488810	1.7551
VASA published, mouse	311	4683	443573	1.0557
VASA published, mouse	314	9834	607612	1.6185
VASA published, mouse	316	575	84075	0.6839
VASA published, mouse	318	9209	800906	1.1498
VASA published, mouse	322	19114	959352	1.9924
VASA published, mouse	324	2332	209961	1.1107
VASA published, mouse	326	3182	354433	0.8978
VASA published, mouse	328	4889	265809	1.8393
VASA published, mouse	330	1792	138093	1.2977
VASA published, mouse	332	1403	147694	0.9499
VASA published, mouse	334	5387	383460	1.4048
VASA published, mouse	335	9241	631731	1.4628
VASA published, mouse	338	2081	113209	1.8382
VASA published, mouse	340	16096	1093766	1.4716
VASA published, mouse	342	7678	525496	1.4611
VASA published, mouse	344	5100	417837	1.2206
VASA published, mouse	346	1860	152524	1.2195
VASA published, mouse	348	11980	825492	1.4513
VASA published, mouse	350	4736	411461	1.1510
VASA published, mouse	352	7802	812640	0.9601
VASA published, mouse	354	5433	453538	1.1979
VASA published, mouse	356	21307	1048635	2.0319
VASA published, mouse	358	7999	545711	1.4658
VASA published, mouse	359	6728	557266	1.2073
VASA published, mouse	362	6590	530570	1.2421
VASA published, mouse	364	1774	212075	0.8365
VASA published, mouse	366	670	95273	0.7032
VASA published, mouse	368	16726	932716	1.7933
VASA published, mouse	370	29787	1318489	2.2592
VASA published, mouse	372	12849	686738	1.8710
VASA published, mouse	374	14937	989233	1.5100
VASA published, mouse	376	20688	1115251	1.8550
VASA published, mouse	378	6598	335673	1.9656
VASA published, mouse	380	4522	364024	1.2422
VASA published, mouse	382	2617	82364	3.1774
VASA published, mouse	383	14213	875299	1.6238
