dataset	class	length	biotype	reads	reads_at_length
FLASH-seq	multi	25	miRNA	19	4085
FLASH-seq	multi	25	pseudogene	1	4085
FLASH-seq	multi	25	rRNA	3	4085
FLASH-seq	multi	26	MiscRna	28	4515
FLASH-seq	multi	26	MtRrna	1	4515
FLASH-seq	multi	26	MtTrna	3	4515
FLASH-seq	multi	26	ProcessedPseudogene	1494	4515
FLASH-seq	multi	26	ProteinCoding	4298	4515
FLASH-seq	multi	26	TEC	43	4515
FLASH-seq	multi	26	TranscribedProcessedPseudogene	1041	4515
FLASH-seq	multi	26	TranscribedUnitaryPseudogene	22	4515
FLASH-seq	multi	26	TranscribedUnprocessedPseudogene	58	4515
FLASH-seq	multi	26	UnitaryPseudogene	25	4515
FLASH-seq	multi	26	UnprocessedPseudogene	285	4515
FLASH-seq	multi	26	lncRNA	2778	4515
FLASH-seq	multi	26	miRNA	32	4515
FLASH-seq	multi	26	pseudogene	2	4515
FLASH-seq	multi	26	rRNA	2	4515
FLASH-seq	multi	27	MiscRna	99	9635
FLASH-seq	multi	27	MtRrna	2	9635
FLASH-seq	multi	27	MtTrna	3	9635
FLASH-seq	multi	27	ProcessedPseudogene	3813	9635
FLASH-seq	multi	27	ProteinCoding	9407	9635
FLASH-seq	multi	27	TEC	122	9635
FLASH-seq	multi	27	TranscribedProcessedPseudogene	1732	9635
FLASH-seq	multi	27	TranscribedUnitaryPseudogene	62	9635
FLASH-seq	multi	27	TranscribedUnprocessedPseudogene	121	9635
FLASH-seq	multi	27	UnitaryPseudogene	45	9635
FLASH-seq	multi	27	UnprocessedPseudogene	2568	9635
FLASH-seq	multi	27	lncRNA	4516	9635
FLASH-seq	multi	27	miRNA	148	9635
FLASH-seq	multi	27	pseudogene	5	9635
FLASH-seq	multi	27	rRNA	2	9635
FLASH-seq	multi	27	snoRNA	1	9635
FLASH-seq	multi	28	MiscRna	87	11201
FLASH-seq	multi	28	MtRrna	2	11201
FLASH-seq	multi	28	MtTrna	2	11201
FLASH-seq	multi	28	ProcessedPseudogene	5510	11201
FLASH-seq	multi	28	ProteinCoding	10768	11201
FLASH-seq	multi	28	TEC	166	11201
FLASH-seq	multi	28	TranscribedProcessedPseudogene	2360	11201
FLASH-seq	multi	28	TranscribedUnitaryPseudogene	89	11201
FLASH-seq	multi	28	TranscribedUnprocessedPseudogene	162	11201
FLASH-seq	multi	28	UnitaryPseudogene	34	11201
FLASH-seq	multi	28	UnprocessedPseudogene	246	11201
FLASH-seq	multi	28	lncRNA	7413	11201
FLASH-seq	multi	28	miRNA	125	11201
FLASH-seq	multi	28	pseudogene	17	11201
FLASH-seq	multi	28	rRNA	9	11201
FLASH-seq	multi	28	snoRNA	5	11201
FLASH-seq	multi	28	tRNA	2	11201
FLASH-seq	multi	29	MiscRna	207	15411
FLASH-seq	multi	29	MtRrna	2	15411
FLASH-seq	multi	29	MtTrna	4	15411
FLASH-seq	multi	29	ProcessedPseudogene	8151	15411
FLASH-seq	multi	29	ProteinCoding	15044	15411
FLASH-seq	multi	29	TEC	202	15411
FLASH-seq	multi	29	TranscribedProcessedPseudogene	3809	15411
FLASH-seq	multi	29	TranscribedUnitaryPseudogene	146	15411
FLASH-seq	multi	29	TranscribedUnprocessedPseudogene	235	15411
FLASH-seq	multi	29	UnitaryPseudogene	89	15411
FLASH-seq	multi	29	UnprocessedPseudogene	810	15411
FLASH-seq	multi	29	lncRNA	9247	15411
FLASH-seq	multi	29	miRNA	219	15411
FLASH-seq	multi	29	pseudogene	6	15411
FLASH-seq	multi	29	rRNA	9	15411
FLASH-seq	multi	29	snoRNA	3	15411
FLASH-seq	multi	29	tRNA	1	15411
FLASH-seq	multi	30	MiscRna	306	49824
FLASH-seq	multi	30	MtRrna	2	49824
FLASH-seq	multi	30	MtTrna	20	49824
FLASH-seq	multi	30	ProcessedPseudogene	27777	49824
FLASH-seq	multi	30	ProteinCoding	48939	49824
FLASH-seq	multi	30	TEC	778	49824
FLASH-seq	multi	30	TranscribedProcessedPseudogene	12534	49824
FLASH-seq	multi	30	TranscribedUnitaryPseudogene	318	49824
FLASH-seq	multi	30	TranscribedUnprocessedPseudogene	620	49824
FLASH-seq	multi	30	UnitaryPseudogene	172	49824
FLASH-seq	multi	30	UnprocessedPseudogene	2248	49824
FLASH-seq	multi	30	lncRNA	30424	49824
FLASH-seq	multi	30	miRNA	583	49824
FLASH-seq	multi	30	pseudogene	18	49824
FLASH-seq	multi	30	rRNA	78	49824
FLASH-seq	multi	30	snRNA	1	49824
FLASH-seq	multi	30	snoRNA	23	49824
FLASH-seq	multi	30	tRNA	24	49824
FLASH-seq	multi	31	MiscRna	491	54431
FLASH-seq	multi	31	MtRrna	2	54431
FLASH-seq	multi	31	MtTrna	36	54431
FLASH-seq	multi	31	ProcessedPseudogene	29265	54431
FLASH-seq	multi	31	ProteinCoding	53267	54431
FLASH-seq	multi	31	TEC	646	54431
FLASH-seq	multi	31	TranscribedProcessedPseudogene	14005	54431
FLASH-seq	multi	31	TranscribedUnitaryPseudogene	381	54431
FLASH-seq	multi	31	TranscribedUnprocessedPseudogene	646	54431
FLASH-seq	multi	31	UnitaryPseudogene	249	54431
FLASH-seq	multi	31	UnprocessedPseudogene	3153	54431
FLASH-seq	multi	31	lncRNA	32681	54431
FLASH-seq	multi	31	miRNA	687	54431
FLASH-seq	multi	31	pseudogene	39	54431
FLASH-seq	multi	31	rRNA	43	54431
FLASH-seq	multi	31	ribozyme	1	54431
FLASH-seq	multi	31	snoRNA	16	54431
FLASH-seq	multi	31	tRNA	13	54431
FLASH-seq	multi	32	MiscRna	888	57745
FLASH-seq	multi	32	MtTrna	46	57745
FLASH-seq	multi	32	ProcessedPseudogene	31122	57745
FLASH-seq	multi	32	ProteinCoding	56562	57745
FLASH-seq	multi	32	TEC	814	57745
FLASH-seq	multi	32	TranscribedProcessedPseudogene	14280	57745
FLASH-seq	multi	32	TranscribedUnitaryPseudogene	351	57745
FLASH-seq	multi	32	TranscribedUnprocessedPseudogene	681	57745
FLASH-seq	multi	32	UnitaryPseudogene	238	57745
FLASH-seq	multi	32	UnprocessedPseudogene	2597	57745
FLASH-seq	multi	32	lncRNA	35680	57745
FLASH-seq	multi	32	miRNA	739	57745
FLASH-seq	multi	32	pseudogene	5	57745
FLASH-seq	multi	32	rRNA	39	57745
FLASH-seq	multi	32	snRNA	2	57745
FLASH-seq	multi	32	snoRNA	17	57745
FLASH-seq	multi	32	tRNA	19	57745
FLASH-seq	multi	33	MiscRna	693	62665
FLASH-seq	multi	33	MtRrna	1	62665
FLASH-seq	multi	33	MtTrna	104	62665
FLASH-seq	multi	33	ProcessedPseudogene	34847	62665
FLASH-seq	multi	33	ProteinCoding	61315	62665
FLASH-seq	multi	33	TEC	892	62665
FLASH-seq	multi	33	TranscribedProcessedPseudogene	15333	62665
FLASH-seq	multi	33	TranscribedUnitaryPseudogene	385	62665
FLASH-seq	multi	33	TranscribedUnprocessedPseudogene	1167	62665
FLASH-seq	multi	33	TranslatedUnprocessedPseudogene	1	62665
FLASH-seq	multi	33	UnitaryPseudogene	228	62665
FLASH-seq	multi	33	UnprocessedPseudogene	2939	62665
FLASH-seq	multi	33	lncRNA	37948	62665
FLASH-seq	multi	33	miRNA	842	62665
FLASH-seq	multi	33	pseudogene	25	62665
FLASH-seq	multi	33	rRNA	52	62665
FLASH-seq	multi	33	snRNA	1	62665
FLASH-seq	multi	33	snoRNA	6	62665
FLASH-seq	multi	33	tRNA	25	62665
FLASH-seq	multi	34	MiscRna	1052	67540
FLASH-seq	multi	34	MtTrna	29	67540
FLASH-seq	multi	34	ProcessedPseudogene	37518	67540
FLASH-seq	multi	34	ProteinCoding	65725	67540
FLASH-seq	multi	34	TEC	830	67540
FLASH-seq	multi	34	TranscribedProcessedPseudogene	17818	67540
FLASH-seq	multi	34	TranscribedUnitaryPseudogene	596	67540
FLASH-seq	multi	34	TranscribedUnprocessedPseudogene	868	67540
FLASH-seq	multi	34	UnitaryPseudogene	413	67540
FLASH-seq	multi	34	UnprocessedPseudogene	2766	67540
FLASH-seq	multi	34	lncRNA	41395	67540
FLASH-seq	multi	34	miRNA	1243	67540
FLASH-seq	multi	34	pseudogene	5	67540
