dataset	class	length	biotype	reads	reads_at_length
FLASH-seq	single	63	tRNA	19	423257
FLASH-seq	single	64	IgVGene	6	448741
FLASH-seq	single	64	MiscRna	31	448741
FLASH-seq	single	64	MtTrna	143	448741
FLASH-seq	single	64	ProcessedPseudogene	1836	448741
FLASH-seq	single	64	ProteinCoding	439223	448741
FLASH-seq	single	64	TEC	1538	448741
FLASH-seq	single	64	TranscribedProcessedPseudogene	626	448741
FLASH-seq	single	64	TranscribedUnitaryPseudogene	62	448741
FLASH-seq	single	64	TranscribedUnprocessedPseudogene	249	448741
FLASH-seq	single	64	UnitaryPseudogene	75	448741
FLASH-seq	single	64	UnprocessedPseudogene	41	448741
FLASH-seq	single	64	lncRNA	60401	448741
FLASH-seq	single	64	miRNA	1446	448741
FLASH-seq	single	64	rRNA	72	448741
FLASH-seq	single	64	ribozyme	7	448741
FLASH-seq	single	64	scaRNA	7	448741
FLASH-seq	single	64	snRNA	11	448741
FLASH-seq	single	64	snoRNA	189	448741
FLASH-seq	single	64	tRNA	17	448741
FLASH-seq	single	65	IgVGene	2	461686
FLASH-seq	single	65	MiscRna	53	461686
FLASH-seq	single	65	MtRrna	7	461686
FLASH-seq	single	65	MtTrna	170	461686
FLASH-seq	single	65	ProcessedPseudogene	1680	461686
FLASH-seq	single	65	ProteinCoding	451870	461686
FLASH-seq	single	65	TEC	1728	461686
FLASH-seq	single	65	TranscribedProcessedPseudogene	820	461686
FLASH-seq	single	65	TranscribedUnitaryPseudogene	49	461686
FLASH-seq	single	65	TranscribedUnprocessedPseudogene	223	461686
FLASH-seq	single	65	UnitaryPseudogene	60	461686
FLASH-seq	single	65	UnprocessedPseudogene	41	461686
FLASH-seq	single	65	lncRNA	61869	461686
FLASH-seq	single	65	miRNA	1427	461686
FLASH-seq	single	65	rRNA	39	461686
FLASH-seq	single	65	ribozyme	16	461686
FLASH-seq	single	65	scaRNA	6	461686
FLASH-seq	single	65	snRNA	12	461686
FLASH-seq	single	65	snoRNA	187	461686
FLASH-seq	single	65	tRNA	34	461686
FLASH-seq	single	66	IgVGene	1	481281
FLASH-seq	single	66	MiscRna	67	481281
FLASH-seq	single	66	MtRrna	4	481281
FLASH-seq	single	66	MtTrna	206	481281
FLASH-seq	single	66	ProcessedPseudogene	2080	481281
FLASH-seq	single	66	ProteinCoding	471149	481281
FLASH-seq	single	66	TEC	1891	481281
FLASH-seq	single	66	TranscribedProcessedPseudogene	815	481281
FLASH-seq	single	66	TranscribedUnitaryPseudogene	82	481281
FLASH-seq	single	66	TranscribedUnprocessedPseudogene	219	481281
FLASH-seq	single	66	UnitaryPseudogene	83	481281
FLASH-seq	single	66	UnprocessedPseudogene	29	481281
FLASH-seq	single	66	lncRNA	64186	481281
FLASH-seq	single	66	miRNA	1621	481281
FLASH-seq	single	66	rRNA	132	481281
FLASH-seq	single	66	ribozyme	22	481281
FLASH-seq	single	66	scaRNA	6	481281
FLASH-seq	single	66	snRNA	33	481281
FLASH-seq	single	66	snoRNA	230	481281
FLASH-seq	single	66	tRNA	50	481281
FLASH-seq	single	67	MiscRna	39	491643
FLASH-seq	single	67	MtRrna	7	491643
FLASH-seq	single	67	MtTrna	195	491643
FLASH-seq	single	67	ProcessedPseudogene	2103	491643
FLASH-seq	single	67	ProteinCoding	481115	491643
FLASH-seq	single	67	TEC	2063	491643
FLASH-seq	single	67	TranscribedProcessedPseudogene	726	491643
FLASH-seq	single	67	TranscribedUnitaryPseudogene	79	491643
FLASH-seq	single	67	TranscribedUnprocessedPseudogene	255	491643
FLASH-seq	single	67	UnitaryPseudogene	50	491643
FLASH-seq	single	67	UnprocessedPseudogene	51	491643
FLASH-seq	single	67	lncRNA	67990	491643
FLASH-seq	single	67	miRNA	1622	491643
FLASH-seq	single	67	rRNA	23	491643
FLASH-seq	single	67	ribozyme	14	491643
FLASH-seq	single	67	sRNA	3	491643
FLASH-seq	single	67	scaRNA	6	491643
FLASH-seq	single	67	snRNA	25	491643
FLASH-seq	single	67	snoRNA	272	491643
FLASH-seq	single	67	tRNA	39	491643
FLASH-seq	single	68	MiscRna	49	502953
FLASH-seq	single	68	MtRrna	8	502953
FLASH-seq	single	68	MtTrna	167	502953
FLASH-seq	single	68	ProcessedPseudogene	2091	502953
FLASH-seq	single	68	ProteinCoding	492403	502953
FLASH-seq	single	68	TEC	1982	502953
FLASH-seq	single	68	TranscribedProcessedPseudogene	933	502953
FLASH-seq	single	68	TranscribedUnitaryPseudogene	64	502953
FLASH-seq	single	68	TranscribedUnprocessedPseudogene	258	502953
FLASH-seq	single	68	UnitaryPseudogene	56	502953
FLASH-seq	single	68	UnprocessedPseudogene	40	502953
FLASH-seq	single	68	lncRNA	67616	502953
FLASH-seq	single	68	miRNA	1564	502953
FLASH-seq	single	68	rRNA	18	502953
FLASH-seq	single	68	ribozyme	15	502953
FLASH-seq	single	68	scaRNA	12	502953
FLASH-seq	single	68	snRNA	15	502953
FLASH-seq	single	68	snoRNA	216	502953
FLASH-seq	single	68	tRNA	26	502953
FLASH-seq	single	69	IgVGene	1	509985
FLASH-seq	single	69	MiscRna	35	509985
FLASH-seq	single	69	MtRrna	13	509985
FLASH-seq	single	69	MtTrna	142	509985
FLASH-seq	single	69	ProcessedPseudogene	2078	509985
FLASH-seq	single	69	ProteinCoding	498594	509985
FLASH-seq	single	69	TEC	1808	509985
FLASH-seq	single	69	TranscribedProcessedPseudogene	1524	509985
FLASH-seq	single	69	TranscribedUnitaryPseudogene	57	509985
FLASH-seq	single	69	TranscribedUnprocessedPseudogene	301	509985
FLASH-seq	single	69	UnitaryPseudogene	51	509985
FLASH-seq	single	69	UnprocessedPseudogene	48	509985
FLASH-seq	single	69	lncRNA	71419	509985
FLASH-seq	single	69	miRNA	1494	509985
FLASH-seq	single	69	rRNA	31	509985
FLASH-seq	single	69	ribozyme	32	509985
FLASH-seq	single	69	scaRNA	6	509985
FLASH-seq	single	69	snRNA	13	509985
FLASH-seq	single	69	snoRNA	216	509985
FLASH-seq	single	69	tRNA	26	509985
FLASH-seq	single	70	IgCGene	1	518478
FLASH-seq	single	70	MiscRna	57	518478
FLASH-seq	single	70	MtRrna	6	518478
FLASH-seq	single	70	MtTrna	153	518478
FLASH-seq	single	70	ProcessedPseudogene	2231	518478
FLASH-seq	single	70	ProteinCoding	507635	518478
FLASH-seq	single	70	TEC	1759	518478
FLASH-seq	single	70	TrVGene	1	518478
FLASH-seq	single	70	TranscribedProcessedPseudogene	919	518478
FLASH-seq	single	70	TranscribedUnitaryPseudogene	69	518478
FLASH-seq	single	70	TranscribedUnprocessedPseudogene	275	518478
FLASH-seq	single	70	UnitaryPseudogene	25	518478
FLASH-seq	single	70	UnprocessedPseudogene	60	518478
FLASH-seq	single	70	lncRNA	69490	518478
FLASH-seq	single	70	miRNA	3889	518478
FLASH-seq	single	70	rRNA	5	518478
FLASH-seq	single	70	ribozyme	19	518478
FLASH-seq	single	70	scaRNA	15	518478
FLASH-seq	single	70	snRNA	9	518478
FLASH-seq	single	70	snoRNA	194	518478
FLASH-seq	single	70	tRNA	31	518478
FLASH-seq	single	71	MiscRna	57	516392
FLASH-seq	single	71	MtRrna	3	516392
FLASH-seq	single	71	MtTrna	137	516392
FLASH-seq	single	71	ProcessedPseudogene	2023	516392
FLASH-seq	single	71	ProteinCoding	506148	516392
FLASH-seq	single	71	TEC	1463	516392
FLASH-seq	single	71	TranscribedProcessedPseudogene	1044	516392
FLASH-seq	single	71	TranscribedUnitaryPseudogene	54	516392
FLASH-seq	single	71	TranscribedUnprocessedPseudogene	252	516392
FLASH-seq	single	71	UnitaryPseudogene	41	516392
FLASH-seq	single	71	UnprocessedPseudogene	38	516392
FLASH-seq	single	71	lncRNA	70180	516392
FLASH-seq	single	71	miRNA	1785	516392
FLASH-seq	single	71	rRNA	32	516392
FLASH-seq	single	71	ribozyme	10	516392
FLASH-seq	single	71	scaRNA	4	516392
FLASH-seq	single	71	snRNA	25	516392
FLASH-seq	single	71	snoRNA	201	516392
FLASH-seq	single	71	tRNA	28	516392
FLASH-seq	single	72	MiscRna	50	505568
FLASH-seq	single	72	MtRrna	9	505568
FLASH-seq	single	72	MtTrna	144	505568
FLASH-seq	single	72	ProcessedPseudogene	2462	505568
FLASH-seq	single	72	ProteinCoding	494358	505568
FLASH-seq	single	72	TEC	1915	505568
FLASH-seq	single	72	TranscribedProcessedPseudogene	811	505568
FLASH-seq	single	72	TranscribedUnitaryPseudogene	38	505568
FLASH-seq	single	72	TranscribedUnprocessedPseudogene	348	505568
FLASH-seq	single	72	UnitaryPseudogene	38	505568
FLASH-seq	single	72	UnprocessedPseudogene	38	505568
FLASH-seq	single	72	lncRNA	69675	505568
FLASH-seq	single	72	miRNA	1602	505568
FLASH-seq	single	72	rRNA	33	505568
FLASH-seq	single	72	ribozyme	12	505568
FLASH-seq	single	72	scaRNA	19	505568
FLASH-seq	single	72	snRNA	29	505568
FLASH-seq	single	72	snoRNA	193	505568
FLASH-seq	single	72	tRNA	55	505568
FLASH-seq	single	73	IgVGene	2	501768
FLASH-seq	single	73	MiscRna	52	501768
FLASH-seq	single	73	MtRrna	2	501768
FLASH-seq	single	73	MtTrna	138	501768
FLASH-seq	single	73	ProcessedPseudogene	1952	501768
FLASH-seq	single	73	ProteinCoding	491447	501768
FLASH-seq	single	73	TEC	1794	501768
FLASH-seq	single	73	TranscribedProcessedPseudogene	1057	501768
FLASH-seq	single	73	TranscribedUnitaryPseudogene	28	501768
FLASH-seq	single	73	TranscribedUnprocessedPseudogene	226	501768
FLASH-seq	single	73	UnitaryPseudogene	40	501768
FLASH-seq	single	73	UnprocessedPseudogene	36	501768
FLASH-seq	single	73	lncRNA	68506	501768
FLASH-seq	single	73	miRNA	2061	501768
FLASH-seq	single	73	rRNA	23	501768
FLASH-seq	single	73	ribozyme	16	501768
FLASH-seq	single	73	scaRNA	7	501768
FLASH-seq	single	73	snRNA	22	501768
FLASH-seq	single	73	snoRNA	251	501768
FLASH-seq	single	73	tRNA	29	501768
FLASH-seq	single	74	MiscRna	60	492671
FLASH-seq	single	74	MtRrna	2	492671
FLASH-seq	single	74	MtTrna	132	492671
FLASH-seq	single	74	ProcessedPseudogene	2111	492671
FLASH-seq	single	74	ProteinCoding	482690	492671
FLASH-seq	single	74	TEC	1881	492671
FLASH-seq	single	74	TranscribedProcessedPseudogene	834	492671
FLASH-seq	single	74	TranscribedUnitaryPseudogene	70	492671
FLASH-seq	single	74	TranscribedUnprocessedPseudogene	268	492671
FLASH-seq	single	74	UnitaryPseudogene	18	492671
FLASH-seq	single	74	UnprocessedPseudogene	49	492671
FLASH-seq	single	74	lncRNA	68287	492671
FLASH-seq	single	74	miRNA	1583	492671
FLASH-seq	single	74	rRNA	47	492671
FLASH-seq	single	74	ribozyme	9	492671
FLASH-seq	single	74	scaRNA	2	492671
FLASH-seq	single	74	snRNA	19	492671
FLASH-seq	single	74	snoRNA	173	492671
FLASH-seq	single	74	tRNA	33	492671
FLASH-seq	single	75	MiscRna	37	498722
FLASH-seq	single	75	MtRrna	7	498722
FLASH-seq	single	75	MtTrna	146	498722
FLASH-seq	single	75	ProcessedPseudogene	2224	498722
FLASH-seq	single	75	ProteinCoding	487917	498722
FLASH-seq	single	75	TEC	2355	498722
FLASH-seq	single	75	TranscribedProcessedPseudogene	827	498722
FLASH-seq	single	75	TranscribedUnitaryPseudogene	80	498722
FLASH-seq	single	75	TranscribedUnprocessedPseudogene	300	498722
FLASH-seq	single	75	UnitaryPseudogene	28	498722
FLASH-seq	single	75	UnprocessedPseudogene	64	498722
FLASH-seq	single	75	lncRNA	68906	498722
FLASH-seq	single	75	miRNA	2066	498722
FLASH-seq	single	75	rRNA	4	498722
FLASH-seq	single	75	ribozyme	20	498722
FLASH-seq	single	75	scaRNA	4	498722
FLASH-seq	single	75	snRNA	27	498722
FLASH-seq	single	75	snoRNA	261	498722
FLASH-seq	single	75	tRNA	28	498722
FLASH-seq	single	76	MiscRna	63	507334
FLASH-seq	single	76	MtRrna	3	507334
FLASH-seq	single	76	MtTrna	155	507334
FLASH-seq	single	76	ProcessedPseudogene	2116	507334
FLASH-seq	single	76	ProteinCoding	497197	507334
FLASH-seq	single	76	TEC	1685	507334
FLASH-seq	single	76	TranscribedProcessedPseudogene	1328	507334
FLASH-seq	single	76	TranscribedUnitaryPseudogene	73	507334
FLASH-seq	single	76	TranscribedUnprocessedPseudogene	272	507334
FLASH-seq	single	76	UnitaryPseudogene	34	507334
FLASH-seq	single	76	UnprocessedPseudogene	33	507334
FLASH-seq	single	76	lncRNA	69293	507334
FLASH-seq	single	76	miRNA	1996	507334
FLASH-seq	single	76	rRNA	4	507334
FLASH-seq	single	76	ribozyme	8	507334
FLASH-seq	single	76	sRNA	4	507334
FLASH-seq	single	76	scaRNA	2	507334
FLASH-seq	single	76	snRNA	19	507334
FLASH-seq	single	76	snoRNA	194	507334
FLASH-seq	single	76	tRNA	20	507334
FLASH-seq	single	77	MiscRna	61	523782
FLASH-seq	single	77	MtRrna	13	523782
FLASH-seq	single	77	MtTrna	219	523782
FLASH-seq	single	77	ProcessedPseudogene	2083	523782
FLASH-seq	single	77	ProteinCoding	512588	523782
FLASH-seq	single	77	TEC	1861	523782
FLASH-seq	single	77	TranscribedProcessedPseudogene	847	523782
FLASH-seq	single	77	TranscribedUnitaryPseudogene	81	523782
FLASH-seq	single	77	TranscribedUnprocessedPseudogene	289	523782
FLASH-seq	single	77	UnitaryPseudogene	29	523782
FLASH-seq	single	77	UnprocessedPseudogene	65	523782
FLASH-seq	single	77	lncRNA	73754	523782
FLASH-seq	single	77	miRNA	1864	523782
FLASH-seq	single	77	rRNA	1	523782
FLASH-seq	single	77	ribozyme	9	523782
FLASH-seq	single	77	scaRNA	8	523782
FLASH-seq	single	77	snRNA	22	523782
FLASH-seq	single	77	snoRNA	287	523782
FLASH-seq	single	77	tRNA	34	523782
FLASH-seq	single	78	MiscRna	53	543274
FLASH-seq	single	78	MtRrna	20	543274
FLASH-seq	single	78	MtTrna	297	543274
FLASH-seq	single	78	ProcessedPseudogene	2050	543274
FLASH-seq	single	78	ProteinCoding	532511	543274
FLASH-seq	single	78	TEC	1828	543274
FLASH-seq	single	78	TranscribedProcessedPseudogene	1045	543274
FLASH-seq	single	78	TranscribedUnitaryPseudogene	67	543274
FLASH-seq	single	78	TranscribedUnprocessedPseudogene	302	543274
FLASH-seq	single	78	UnitaryPseudogene	29	543274
FLASH-seq	single	78	UnprocessedPseudogene	51	543274
FLASH-seq	single	78	lncRNA	74417	543274
FLASH-seq	single	78	miRNA	1606	543274
FLASH-seq	single	78	rRNA	3	543274
FLASH-seq	single	78	ribozyme	6	543274
FLASH-seq	single	78	scaRNA	8	543274
FLASH-seq	single	78	snRNA	13	543274
FLASH-seq	single	78	snoRNA	211	543274
FLASH-seq	single	78	tRNA	30	543274
FLASH-seq	single	79	IgVGene	1	547624
FLASH-seq	single	79	MiscRna	73	547624
FLASH-seq	single	79	MtRrna	21	547624
FLASH-seq	single	79	MtTrna	179	547624
FLASH-seq	single	79	ProcessedPseudogene	2150	547624
FLASH-seq	single	79	ProteinCoding	536301	547624
FLASH-seq	single	79	TEC	1965	547624
FLASH-seq	single	79	TranscribedProcessedPseudogene	1116	547624
FLASH-seq	single	79	TranscribedUnitaryPseudogene	65	547624
FLASH-seq	single	79	TranscribedUnprocessedPseudogene	302	547624
FLASH-seq	single	79	UnitaryPseudogene	32	547624
FLASH-seq	single	79	UnprocessedPseudogene	47	547624
FLASH-seq	single	79	lncRNA	74540	547624
FLASH-seq	single	79	miRNA	2006	547624
FLASH-seq	single	79	rRNA	6	547624
FLASH-seq	single	79	ribozyme	22	547624
FLASH-seq	single	79	sRNA	2	547624
FLASH-seq	single	79	scaRNA	3	547624
FLASH-seq	single	79	snRNA	20	547624
FLASH-seq	single	79	snoRNA	206	547624
FLASH-seq	single	79	tRNA	36	547624
FLASH-seq	single	80	MiscRna	43	545472
FLASH-seq	single	80	MtRrna	39	545472
FLASH-seq	single	80	MtTrna	168	545472
FLASH-seq	single	80	ProcessedPseudogene	2181	545472
FLASH-seq	single	80	ProteinCoding	533830	545472
FLASH-seq	single	80	TEC	2184	545472
FLASH-seq	single	80	TranscribedProcessedPseudogene	1201	545472
FLASH-seq	single	80	TranscribedUnitaryPseudogene	75	545472
FLASH-seq	single	80	TranscribedUnprocessedPseudogene	282	545472
FLASH-seq	single	80	UnitaryPseudogene	44	545472
FLASH-seq	single	80	UnprocessedPseudogene	42	545472
FLASH-seq	single	80	lncRNA	75338	545472
FLASH-seq	single	80	miRNA	2401	545472
FLASH-seq	single	80	rRNA	7	545472
FLASH-seq	single	80	ribozyme	8	545472
FLASH-seq	single	80	scaRNA	7	545472
FLASH-seq	single	80	snRNA	26	545472
FLASH-seq	single	80	snoRNA	254	545472
FLASH-seq	single	80	tRNA	38	545472
FLASH-seq	single	81	IgVGene	5	553139
FLASH-seq	single	81	MiscRna	64	553139
FLASH-seq	single	81	MtRrna	6	553139
FLASH-seq	single	81	MtTrna	169	553139
FLASH-seq	single	81	ProcessedPseudogene	2328	553139
FLASH-seq	single	81	ProteinCoding	541534	553139
FLASH-seq	single	81	TEC	1886	553139
FLASH-seq	single	81	TranscribedProcessedPseudogene	1037	553139
FLASH-seq	single	81	TranscribedUnitaryPseudogene	88	553139
FLASH-seq	single	81	TranscribedUnprocessedPseudogene	332	553139
FLASH-seq	single	81	TranslatedUnprocessedPseudogene	1	553139
FLASH-seq	single	81	UnitaryPseudogene	48	553139
FLASH-seq	single	81	UnprocessedPseudogene	54	553139
FLASH-seq	single	81	lncRNA	74943	553139
FLASH-seq	single	81	miRNA	2543	553139
FLASH-seq	single	81	ribozyme	12	553139
FLASH-seq	single	81	scaRNA	6	553139
FLASH-seq	single	81	snRNA	18	553139
FLASH-seq	single	81	snoRNA	199	553139
FLASH-seq	single	81	tRNA	40	553139
FLASH-seq	single	82	MiscRna	51	545225
FLASH-seq	single	82	MtRrna	11	545225
FLASH-seq	single	82	MtTrna	152	545225
FLASH-seq	single	82	ProcessedPseudogene	2437	545225
FLASH-seq	single	82	ProteinCoding	534181	545225
FLASH-seq	single	82	TEC	1834	545225
FLASH-seq	single	82	TrVGene	2	545225
FLASH-seq	single	82	TranscribedProcessedPseudogene	891	545225
FLASH-seq	single	82	TranscribedUnitaryPseudogene	75	545225
FLASH-seq	single	82	TranscribedUnprocessedPseudogene	332	545225
FLASH-seq	single	82	UnitaryPseudogene	40	545225
FLASH-seq	single	82	UnprocessedPseudogene	73	545225
FLASH-seq	single	82	lncRNA	76836	545225
FLASH-seq	single	82	miRNA	2371	545225
FLASH-seq	single	82	rRNA	8	545225
FLASH-seq	single	82	ribozyme	17	545225
FLASH-seq	single	82	scaRNA	8	545225
FLASH-seq	single	82	snRNA	20	545225
FLASH-seq	single	82	snoRNA	301	545225
FLASH-seq	single	82	tRNA	18	545225
FLASH-seq	single	83	IgVGene	1	542871
FLASH-seq	single	83	MiscRna	54	542871
FLASH-seq	single	83	MtRrna	2	542871
FLASH-seq	single	83	MtTrna	181	542871
FLASH-seq	single	83	ProcessedPseudogene	2292	542871
FLASH-seq	single	83	ProteinCoding	531424	542871
FLASH-seq	single	83	TEC	2144	542871
FLASH-seq	single	83	TranscribedProcessedPseudogene	1143	542871
FLASH-seq	single	83	TranscribedUnitaryPseudogene	72	542871
FLASH-seq	single	83	TranscribedUnprocessedPseudogene	318	542871
FLASH-seq	single	83	TranslatedUnprocessedPseudogene	1	542871
FLASH-seq	single	83	UnitaryPseudogene	31	542871
FLASH-seq	single	83	UnprocessedPseudogene	51	542871
FLASH-seq	single	83	lncRNA	77489	542871
FLASH-seq	single	83	miRNA	1683	542871
FLASH-seq	single	83	ribozyme	31	542871
FLASH-seq	single	83	scaRNA	7	542871
FLASH-seq	single	83	snRNA	15	542871
FLASH-seq	single	83	snoRNA	206	542871
FLASH-seq	single	83	tRNA	42	542871
FLASH-seq	single	84	MiscRna	29	528968
FLASH-seq	single	84	MtRrna	7	528968
FLASH-seq	single	84	MtTrna	190	528968
FLASH-seq	single	84	ProcessedPseudogene	2345	528968
FLASH-seq	single	84	ProteinCoding	518445	528968
FLASH-seq	single	84	TEC	1827	528968
FLASH-seq	single	84	TranscribedProcessedPseudogene	1169	528968
FLASH-seq	single	84	TranscribedUnitaryPseudogene	72	528968
FLASH-seq	single	84	TranscribedUnprocessedPseudogene	268	528968
FLASH-seq	single	84	UnitaryPseudogene	29	528968
FLASH-seq	single	84	UnprocessedPseudogene	51	528968
FLASH-seq	single	84	lncRNA	72237	528968
FLASH-seq	single	84	miRNA	2030	528968
FLASH-seq	single	84	rRNA	6	528968
FLASH-seq	single	84	ribozyme	11	528968
FLASH-seq	single	84	scaRNA	10	528968
FLASH-seq	single	84	snRNA	25	528968
FLASH-seq	single	84	snoRNA	187	528968
FLASH-seq	single	84	tRNA	19	528968
FLASH-seq	single	85	MiscRna	47	534250
FLASH-seq	single	85	MtRrna	3	534250
FLASH-seq	single	85	MtTrna	206	534250
FLASH-seq	single	85	ProcessedPseudogene	2544	534250
FLASH-seq	single	85	ProteinCoding	522331	534250
FLASH-seq	single	85	TEC	2136	534250
FLASH-seq	single	85	TranscribedProcessedPseudogene	1045	534250
FLASH-seq	single	85	TranscribedUnitaryPseudogene	76	534250
FLASH-seq	single	85	TranscribedUnprocessedPseudogene	296	534250
FLASH-seq	single	85	UnitaryPseudogene	21	534250
FLASH-seq	single	85	UnprocessedPseudogene	42	534250
FLASH-seq	single	85	lncRNA	75060	534250
FLASH-seq	single	85	miRNA	1774	534250
FLASH-seq	single	85	rRNA	3	534250
FLASH-seq	single	85	ribozyme	15	534250
FLASH-seq	single	85	scaRNA	3	534250
FLASH-seq	single	85	snRNA	7	534250
FLASH-seq	single	85	snoRNA	264	534250
FLASH-seq	single	85	tRNA	37	534250
FLASH-seq	single	86	MiscRna	90	534469
FLASH-seq	single	86	MtRrna	8	534469
FLASH-seq	single	86	MtTrna	230	534469
FLASH-seq	single	86	ProcessedPseudogene	2309	534469
FLASH-seq	single	86	ProteinCoding	522749	534469
FLASH-seq	single	86	TEC	1861	534469
FLASH-seq	single	86	TranscribedProcessedPseudogene	1011	534469
FLASH-seq	single	86	TranscribedUnitaryPseudogene	62	534469
FLASH-seq	single	86	TranscribedUnprocessedPseudogene	359	534469
FLASH-seq	single	86	UnitaryPseudogene	34	534469
FLASH-seq	single	86	UnprocessedPseudogene	43	534469
FLASH-seq	single	86	lncRNA	76690	534469
FLASH-seq	single	86	miRNA	1939	534469
FLASH-seq	single	86	ribozyme	10	534469
FLASH-seq	single	86	scaRNA	2	534469
FLASH-seq	single	86	snRNA	11	534469
FLASH-seq	single	86	snoRNA	237	534469
FLASH-seq	single	86	tRNA	31	534469
FLASH-seq	single	87	MiscRna	61	549667
FLASH-seq	single	87	MtRrna	3	549667
FLASH-seq	single	87	MtTrna	159	549667
FLASH-seq	single	87	ProcessedPseudogene	1877	549667
FLASH-seq	single	87	ProteinCoding	538627	549667
FLASH-seq	single	87	TEC	1857	549667
FLASH-seq	single	87	TranscribedProcessedPseudogene	1016	549667
FLASH-seq	single	87	TranscribedUnitaryPseudogene	64	549667
FLASH-seq	single	87	TranscribedUnprocessedPseudogene	265	549667
FLASH-seq	single	87	UnitaryPseudogene	29	549667
FLASH-seq	single	87	UnprocessedPseudogene	41	549667
FLASH-seq	single	87	lncRNA	77073	549667
FLASH-seq	single	87	miRNA	1665	549667
FLASH-seq	single	87	rRNA	4	549667
FLASH-seq	single	87	ribozyme	12	549667
FLASH-seq	single	87	scaRNA	12	549667
FLASH-seq	single	87	snRNA	24	549667
FLASH-seq	single	87	snoRNA	248	549667
FLASH-seq	single	87	tRNA	29	549667
FLASH-seq	single	88	IgVGene	1	565957
FLASH-seq	single	88	MiscRna	73	565957
FLASH-seq	single	88	MtRrna	3	565957
FLASH-seq	single	88	MtTrna	157	565957
FLASH-seq	single	88	ProcessedPseudogene	2152	565957
FLASH-seq	single	88	ProteinCoding	553912	565957
FLASH-seq	single	88	TEC	2080	565957
FLASH-seq	single	88	TranscribedProcessedPseudogene	1238	565957
FLASH-seq	single	88	TranscribedUnitaryPseudogene	80	565957
FLASH-seq	single	88	TranscribedUnprocessedPseudogene	351	565957
FLASH-seq	single	88	UnitaryPseudogene	53	565957
FLASH-seq	single	88	UnprocessedPseudogene	63	565957
FLASH-seq	single	88	lncRNA	81075	565957
FLASH-seq	single	88	miRNA	1721	565957
FLASH-seq	single	88	ribozyme	10	565957
FLASH-seq	single	88	scaRNA	7	565957
FLASH-seq	single	88	snRNA	14	565957
FLASH-seq	single	88	snoRNA	217	565957
FLASH-seq	single	88	tRNA	32	565957
FLASH-seq	single	89	IgVGene	1	573432
FLASH-seq	single	89	MiscRna	91	573432
FLASH-seq	single	89	MtRrna	7	573432
FLASH-seq	single	89	MtTrna	118	573432
FLASH-seq	single	89	ProcessedPseudogene	2538	573432
FLASH-seq	single	89	ProteinCoding	561625	573432
FLASH-seq	single	89	TEC	1959	573432
FLASH-seq	single	89	TranscribedProcessedPseudogene	1404	573432
FLASH-seq	single	89	TranscribedUnitaryPseudogene	82	573432
FLASH-seq	single	89	TranscribedUnprocessedPseudogene	327	573432
FLASH-seq	single	89	UnitaryPseudogene	27	573432
FLASH-seq	single	89	UnprocessedPseudogene	65	573432
FLASH-seq	single	89	lncRNA	79342	573432
FLASH-seq	single	89	miRNA	2425	573432
FLASH-seq	single	89	rRNA	3	573432
FLASH-seq	single	89	ribozyme	25	573432
FLASH-seq	single	89	scaRNA	7	573432
FLASH-seq	single	89	snRNA	19	573432
FLASH-seq	single	89	snoRNA	226	573432
FLASH-seq	single	89	tRNA	42	573432
FLASH-seq	single	90	MiscRna	35	581153
FLASH-seq	single	90	MtRrna	19	581153
FLASH-seq	single	90	MtTrna	162	581153
FLASH-seq	single	90	ProcessedPseudogene	2359	581153
FLASH-seq	single	90	ProteinCoding	569480	581153
FLASH-seq	single	90	TEC	2106	581153
FLASH-seq	single	90	TranscribedProcessedPseudogene	1186	581153
FLASH-seq	single	90	TranscribedUnitaryPseudogene	84	581153
FLASH-seq	single	90	TranscribedUnprocessedPseudogene	328	581153
FLASH-seq	single	90	UnitaryPseudogene	64	581153
FLASH-seq	single	90	UnprocessedPseudogene	36	581153
FLASH-seq	single	90	lncRNA	82389	581153
FLASH-seq	single	90	miRNA	1780	581153
FLASH-seq	single	90	pseudogene	2	581153
FLASH-seq	single	90	ribozyme	17	581153
FLASH-seq	single	90	scaRNA	8	581153
FLASH-seq	single	90	snRNA	21	581153
FLASH-seq	single	90	snoRNA	219	581153
FLASH-seq	single	90	tRNA	32	581153
FLASH-seq	single	91	IgVGene	1	582358
FLASH-seq	single	91	MiscRna	49	582358
FLASH-seq	single	91	MtRrna	19	582358
FLASH-seq	single	91	MtTrna	122	582358
FLASH-seq	single	91	ProcessedPseudogene	2566	582358
FLASH-seq	single	91	ProteinCoding	570395	582358
FLASH-seq	single	91	TEC	2929	582358
FLASH-seq	single	91	TranscribedProcessedPseudogene	1390	582358
FLASH-seq	single	91	TranscribedUnitaryPseudogene	78	582358
FLASH-seq	single	91	TranscribedUnprocessedPseudogene	307	582358
FLASH-seq	single	91	UnitaryPseudogene	42	582358
FLASH-seq	single	91	UnprocessedPseudogene	44	582358
FLASH-seq	single	91	lncRNA	80806	582358
FLASH-seq	single	91	miRNA	2605	582358
FLASH-seq	single	91	ribozyme	9	582358
FLASH-seq	single	91	scaRNA	9	582358
FLASH-seq	single	91	snRNA	18	582358
FLASH-seq	single	91	snoRNA	219	582358
FLASH-seq	single	91	tRNA	21	582358
FLASH-seq	single	92	MiscRna	56	573512
FLASH-seq	single	92	MtRrna	9	573512
